partner,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NL,18.091,22.012,21.428,22.885,21.502,22.85,24.588,26.199,26.086,23.871,24.955,24.234,19.341,19.409,19.392,20.604,21.836,16.249,19.657,18.742,20.372,17.577,17.008,18.473,17.258,17.942,18.708,19.02,18.683,18.652,14.951
BE,4.268,4.954,4.496,3.728,3.642,5.019,5.124,6.05,5.532,5.064,5.631,6.194,5.496,4.657,4.086,3.779,4.759,3.908,5.482,4.889,4.71,4.842,5.363,5.554,5.694,5.25,4.697,6.156,7.372,8.212,5.354
RU,0.0,0.0,2.467,2.496,1.674,1.493,0.97,1.531,1.307,1.228,0.864,1.226,0.893,1.642,1.699,1.449,1.9,1.369,1.691,1.931,2.351,1.968,2.677,4.145,6.267,5.448,7.036,7.88,6.747,6.704,6.77
FR,1.407,2.028,1.603,1.667,1.867,2.521,2.636,2.703,2.348,2.036,1.815,2.047,1.527,1.204,1.305,1.372,1.275,1.179,0.967,0.854,0.479,0.453,0.358,0.343,0.302,0.387,0.359,0.668,1.208,1.592,0.942
CH,0.261,0.415,0.308,0.438,0.361,0.234,0.246,0.136,0.065,0.126,0.172,0.129,0.176,0.289,0.247,0.205,0.159,0.114,0.221,0.118,0.124,0.107,0.12,0.192,0.253,0.184,0.323,0.829,0.307,1.427,1.687
US,1.164,1.08,1.119,1.09,1.057,0.871,0.867,0.926,0.628,0.634,0.698,0.389,0.346,0.322,0.114,0.23,0.701,0.283,0.766,0.428,0.957,1.536,1.214,1.385,0.627,0.659,0.388,0.728,0.642,0.646,0.514
CZ,0.185,0.139,0.11,0.24,0.223,0.303,0.349,0.384,0.359,0.4,0.38,0.314,0.421,0.108,0.095,0.163,0.179,0.189,0.281,0.182,0.306,0.337,0.243,0.291,0.209,0.475,0.456,0.64,0.655,0.636,0.484
FI,0.14,0.338,0.525,0.475,0.249,0.159,0.148,0.095,0.132,0.245,0.202,0.831,0.751,1.226,0.883,0.842,0.825,0.447,0.17,0.046,0.354,0.298,0.106,0.22,0.081,0.221,0.343,0.447,0.436,0.61,0.333
SE,1.454,1.656,1.401,1.773,1.185,1.922,2.466,1.624,1.802,1.597,1.302,1.394,1.088,0.967,1.097,1.412,0.688,0.43,0.712,0.503,0.4,0.499,0.268,0.497,0.215,0.396,0.888,1.216,1.175,0.572,0.54
AT,0.117,0.049,0.016,0.027,0.022,0.017,0.011,0.005,0.016,0.015,0.059,0.076,0.069,0.015,0.012,0.024,0.026,0.024,0.06,0.223,0.151,0.209,0.387,0.558,0.672,0.341,0.322,0.326,0.385,0.564,0.46
UK,2.518,3.539,2.22,2.856,2.182,1.603,2.038,2.51,1.183,1.346,1.882,2.145,1.57,0.921,1.449,1.654,2.0,1.772,1.009,1.103,1.445,0.957,0.938,2.469,2.318,2.444,1.174,0.542,0.349,0.561,0.359
NO,1.555,1.238,1.524,1.849,2.024,1.217,1.387,1.684,1.215,0.445,0.477,0.56,0.459,0.814,0.351,0.3,0.25,0.142,0.171,0.223,0.195,0.417,0.207,0.273,0.214,0.658,0.373,0.341,0.514,0.347,0.501
Sonstige,10.512,10.557,8.812,6.217,5.179,5.151,5.329,5.455,4.054,3.515,3.734,4.13,4.201,4.512,3.34,2.927,2.477,2.517,3.494,3.677,3.723,3.781,3.352,3.249,2.929,3.031,3.693,2.272,1.864,1.613,1.939
